epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.42461585998535156,0.0010000000474974513,1.2609035968780518,0.6764175295829773,1.5511595010757446
1,0.6042598485946655,0.0010000000474974513,1.0447502136230469,0.6457443237304688,1.0548757314682007
2,0.7030460238456726,0.0010000000474974513,0.8998791575431824,0.6770675778388977,14.327140808105469
3,0.7279201745986938,0.0010000000474974513,0.8347822427749634,0.6770675778388977,20.56998062133789
4,0.7313140630722046,0.0010000000474974513,0.8141297101974487,0.6770675778388977,33.60764694213867
5,0.7313831448554993,0.0010000000474974513,0.8034294247627258,0.6770675778388977,25.913768768310547
6,0.7314159274101257,0.0010000000474974513,0.7989240884780884,0.6770675778388977,13.493942260742188
7,0.7314159274101257,0.0005000000237487257,0.7930527925491333,0.6770675778388977,7.189245700836182
8,0.7314159274101257,0.0005000000237487257,0.7908551096916199,0.6770675778388977,6.449049949645996
9,0.7314159274101257,0.0005000000237487257,0.7921010255813599,0.6770675778388977,7.469268798828125
